epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.28223246,1.7890951888238726,0.33100348711013794,1.3274667529659872
1,0.49725989,1.0977429271191315,0.5172241926193237,1.0112669075719727
2,0.54052496,0.9829670394708211,0.5456814765930176,0.9605343375751154
3,0.5289876,1.2100406954946592,0.5566650032997131,1.0763900928121177
4,0.59316415,0.9677977148655137,0.6555167436599731,0.8546345686234061
5,0.63441014,0.8602582481535291,0.6859710216522217,0.8073289109300031
6,0.6831555,0.7780777891946864,0.6799800395965576,0.7626886924861731
7,0.7424286,0.6408451488185142,0.7698452472686768,0.6575792920154985
8,0.8053072,0.5183184775420421,0.8597104549407959,0.4470968563230527
9,0.8533314,0.4152037655719254,0.883175253868103,0.37283449451877543
10,0.8739544,0.35099336217829913,0.8921617865562439,0.35477799359435624
11,0.8828959,0.3228800924119325,0.9046430587768555,0.32015330834324457
12,0.8924142,0.29720885240461303,0.8871692419052124,0.3184575289190262
13,0.8980386,0.2744206331943207,0.9041438102722168,0.30635160343145884
14,0.9020767,0.26201532994734644,0.8721917271614075,0.35942175803046733
