epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.77069515,0.6367717059331839,0.8442336320877075,0.4472918664284248
1,0.8599654,0.39087231247491094,0.8691961765289307,0.47782822305181294
2,0.88592446,0.3053615357901956,0.8886669874191284,0.4010237218348074
3,0.906259,0.24695730545454078,0.8946580290794373,0.3407593468279465
4,0.9196712,0.20672650410457136,0.8891662359237671,0.45151249835982776
5,0.9322181,0.18360519614838922,0.8577134013175964,0.43457077008393546
6,0.9447649,0.14508177276097942,0.8766849637031555,0.5097155793348195
7,0.94563025,0.14500924890400493,0.8891662359237671,0.5181201848643634
8,0.95212,0.12564238858843593,0.8921617865562439,0.4267121794579167
9,0.96091723,0.10030339288202665,0.864203691482544,0.5933395135809244
10,0.9629363,0.09986239378476199,0.8971542716026306,0.581061469708268
11,0.9596193,0.10178134623804283,0.8871692419052124,0.5704236384546286
12,0.97057974,0.07547380392046665,0.8861707448959351,0.5762723635408341
13,0.96394575,0.10224067302861818,0.8856714963912964,0.5070643556293581
14,0.9702913,0.07905721159091524,0.8756864666938782,0.6254037824232471
