epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.25036055,nan,0.14428357779979706,nan
1,0.16483992,nan,0.14428357779979706,nan
2,0.16483992,nan,0.14428357779979706,nan
3,0.16483992,nan,0.14428357779979706,nan
4,0.16483992,nan,0.14428357779979706,nan
5,0.16483992,nan,0.14428357779979706,nan
6,0.16483992,nan,0.14428357779979706,nan
7,0.16483992,nan,0.14428357779979706,nan
8,0.16483992,nan,0.14428357779979706,nan
9,0.16483992,nan,0.14428357779979706,nan
10,0.16483992,nan,0.14428357779979706,nan
11,0.16483992,nan,0.14428357779979706,nan
12,0.16483992,nan,0.14428357779979706,nan
13,0.16483992,nan,0.14428357779979706,nan
14,0.16483992,nan,0.14428357779979706,nan
