epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8521777,0.41496237591532215,0.9016475081443787,0.2678518229449206
1,0.9214018,0.19436276751995638,0.9121317863464355,0.24962631663976165
2,0.9366888,0.1474088424237035,0.8976535201072693,0.2821199590548996
3,0.9433228,0.12328467883206184,0.9181228280067444,0.31001775705074985
4,0.95385057,0.10937652522324656,0.9071393013000488,0.29470586035656593
5,0.9518316,0.11366980072440763,0.9051423072814941,0.43405167124660976
6,0.95572543,0.106370756360169,0.9041438102722168,0.4479866281868313
7,0.9603404,0.09114099268159229,0.9086370468139648,0.40483855289924114
8,0.9655322,0.08114298860393927,0.9121317863464355,0.3763444006735486
9,0.96798384,0.07408217607882117,0.8931602835655212,0.4933351325957164
10,0.96899337,0.06996404648701254,0.9111332893371582,0.4660387591355323
11,0.9734641,0.06418581665118817,0.9096355438232422,0.4797594847624612
12,0.97231036,0.060955233809615816,0.9166250824928284,0.5271687725329227
13,0.96048456,0.11002721751491824,0.9151273369789124,0.358418422452324
14,0.96380156,0.08894609862775736,0.8856714963912964,0.66375251820958
