epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.62474763,0.967767233665649,0.6874687671661377,0.8106032692665942
1,0.72065187,0.6955409421334873,0.7254118919372559,0.7065485492088291
2,0.7330545,0.6446325311167013,0.7319021224975586,0.6723431375582577
3,0.7546871,0.5969485208662917,0.7388916611671448,0.6491977398953792
4,0.78699166,0.54185756032667,0.7553669214248657,0.5895422422701397
5,0.8037208,0.4958161787509506,0.7538691759109497,0.6090400507613176
6,0.8302567,0.4391430276063254,0.8377434015274048,0.5177178760200992
7,0.86083066,0.3886650898011645,0.8312531113624573,0.5134515439755787
8,0.86789733,0.3574729933668565,0.8462306261062622,0.47483931710228466
9,0.88347274,0.3253043815644014,0.8582127094268799,0.4884731094731847
10,0.89601964,0.28574127761713186,0.8597104549407959,0.5044495853327151
11,0.90452844,0.26342236289106047,0.8716924786567688,0.4696572202802285
12,0.90712434,0.2479945005946246,0.8766849637031555,0.49033397669739803
13,0.921546,0.21917508611735467,0.8597104549407959,0.45381412040990887
14,0.92543983,0.2006810419653648,0.8572141528129578,0.5152754323130182
