epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.70291317,1.2891821847685414,0.833250105381012,0.4443839512285565
1,0.829103,0.41170643964142495,0.8342486023902893,0.4694068355674572
2,0.85520625,0.34772530204114427,0.8542186617851257,0.3625201514168376
3,0.8777041,0.30189335316565735,0.8706939816474915,0.355384338172864
4,0.87929046,0.28398845351873575,0.8222665786743164,0.5031171269673915
5,0.87669456,0.2966683417395346,0.8756864666938782,0.3093416808443669
6,0.8941448,0.2585519948248427,0.8392411470413208,0.43559995229638226
7,0.8974618,0.23989365530316617,0.8706939816474915,0.33631396674538516
8,0.8941448,0.25416244549678385,0.8796804547309875,0.29525594873780675
9,0.906259,0.2271988849269233,0.8771842122077942,0.33235998378803416
10,0.9077012,0.21188949769293502,0.8836745023727417,0.28562448294651965
11,0.9144794,0.20074566998466623,0.8472291827201843,0.40824953169448935
12,0.9110182,0.20267396077475014,0.8956565260887146,0.3077568514305118
13,0.9163542,0.19831587011889074,0.8861707448959351,0.3117522059293967
14,0.9225555,0.18738078007720066,0.8941587805747986,0.3121886169663442
