epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8142486,0.726896177812925,0.898152768611908,0.27432076746799683
1,0.90308625,0.24472414359841457,0.9106340408325195,0.299020998752748
2,0.9126046,0.2050744441338152,0.9116325378417969,0.2386432118863574
3,0.9231324,0.19243439774984994,0.932101845741272,0.2113464518436949
4,0.92644936,0.18104393715116796,0.86570143699646,0.29139006557245284
5,0.9296222,0.17323139006874216,0.8696954846382141,0.30563532406934063
6,0.93827516,0.1645595206118065,0.915626585483551,0.28235677002474474
7,0.94058263,0.14131887528517764,0.90114825963974,0.41814279993769066
8,0.931497,0.18103206806252317,0.9021467566490173,0.3359681306581014
9,0.9479377,0.12634777926061144,0.86570143699646,0.43862501630020845
10,0.9565907,0.10852960507832156,0.8322516083717346,0.6248291911860684
11,0.93798673,0.16345209677985467,0.8921617865562439,0.44343284331267013
12,0.9440438,0.15445014054317244,0.9131302833557129,0.39817522103772457
13,0.9565907,0.1178530529302601,0.9016475081443787,0.32785781010958726
14,0.95601386,0.10338009294753189,0.8911632299423218,0.48524468349464495
