epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.757283,1.8059619607724613,0.8876684904098511,0.3695707601484393
1,0.870349,0.3670535400866568,0.8821767568588257,0.38457869571325365
2,0.89371216,0.2803136175377485,0.8841737508773804,0.3421540753158015
3,0.89890397,0.2701733367120563,0.9246130585670471,0.2902303239757486
4,0.90712434,0.2329587794309533,0.8756864666938782,0.43529006481706295
5,0.90423995,0.25225201182933443,0.8856714963912964,0.41872948910287777
6,0.9169311,0.2049657811045664,0.9106340408325195,0.3430071675958632
7,0.92976636,0.1766853841703427,0.8946580290794373,0.38532779156834845
8,0.93423706,0.15723865403371204,0.9046430587768555,0.42283627130499196
9,0.9113066,0.3358016319257023,0.8726909756660461,0.7432711994088536
10,0.8991924,0.3095948325648994,0.8866699934005737,0.42620157547522
11,0.9218344,0.1822689529470745,0.902646005153656,0.4211740784430867
12,0.93827516,0.15938149242604677,0.8791812062263489,0.5112163909004548
13,0.91332567,0.26983385567263496,0.8876684904098511,0.35942270691565614
14,0.9225555,0.21267868936457274,0.9081377983093262,0.4143597677460938
