epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.77531004,0.7383965319847214,0.8691961765289307,0.36283007322164756
1,0.8777041,0.3176515593733676,0.8971542716026306,0.35127216782113996
2,0.8974618,0.2575953371300627,0.8926610350608826,0.3412122772564843
3,0.9081338,0.2353081310177042,0.8911632299423218,0.3675908827645071
4,0.9163542,0.21292736397839637,0.8841737508773804,0.3205588252780679
5,0.9265936,0.19125273700815337,0.8552171587944031,0.4075287355782387
6,0.9277473,0.1893147228192726,0.899650514125824,0.3665528481638341
7,0.9358235,0.16501283953796383,0.8781827092170715,0.5076547154153107
8,0.9250072,0.20551632624737357,0.9031452536582947,0.3527485246663607
9,0.94130373,0.14905870579266914,0.8791812062263489,0.41244730671331103
10,0.9447649,0.1371280042600195,0.9016475081443787,0.41146209726188426
11,0.9333718,0.1661824661865508,0.902646005153656,0.3920286200825298
12,0.9470724,0.13818121612940187,0.8991512656211853,0.5216331106651978
13,0.94231325,0.14675995146837983,0.8681976795196533,0.5027488516927271
14,0.9485146,0.13360996972011976,0.8911632299423218,0.48852965602845594
