dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
haar,0.2,db4,lstmcnn,0.9065040946006776
haar,0.2,db4,nn,0.917682945728302
haar,0.2,db4,rnn,0.7825203537940979
haar,0.2,dmey,birnn,0.8968495726585388
haar,0.2,dmey,cnn,0.8978658318519592
haar,0.2,dmey,lstmcnn,0.908028483390808
haar,0.2,dmey,nn,0.9009146094322203
haar,0.2,dmey,rnn,0.7535569071769714
haar,0.2,haar,birnn,0.8917682766914368
haar,0.2,haar,cnn,0.9207317233085632
haar,0.2,haar,lstmcnn,0.9039633870124816
haar,0.2,haar,nn,0.9197154641151428
haar,0.2,haar,rnn,0.817581295967102
haar,0.2,none,birnn,0.8729674816131592
haar,0.2,none,cnn,0.8887194991111755
haar,0.2,none,lstmcnn,0.908028483390808
haar,0.2,none,nn,0.8694105744361877
haar,0.2,none,rnn,0.8734756112098694
haar,0.2,sym4,birnn,0.8810975551605225
haar,0.2,sym4,cnn,0.9059959053993224
haar,0.2,sym4,lstmcnn,0.8917682766914368
haar,0.2,sym4,nn,0.9034552574157716
haar,0.2,sym4,rnn,0.7779471278190613
haar,0.3,coif4,birnn,0.8587398529052734
haar,0.3,coif4,cnn,0.8709349632263184
haar,0.3,coif4,lstmcnn,0.9085366129875184
haar,0.3,coif4,nn,0.8587398529052734
haar,0.3,coif4,rnn,0.7017276287078857
haar,0.3,db4,birnn,0.8328251838684082
haar,0.3,db4,cnn,0.8968495726585388
haar,0.3,db4,lstmcnn,0.8805894255638123
haar,0.3,db4,nn,0.8810975551605225
haar,0.3,db4,rnn,0.7560975551605225
haar,0.3,dmey,birnn,0.7525406479835509
haar,0.3,dmey,cnn,0.8760162591934204
haar,0.3,dmey,lstmcnn,0.8993902206420898
haar,0.3,dmey,nn,0.8622967600822449
haar,0.3,dmey,rnn,0.7093495726585388
haar,0.3,haar,birnn,0.8455284833908081
haar,0.3,haar,cnn,0.9054877758026124
haar,0.3,haar,lstmcnn,0.8221544623374939
haar,0.3,haar,nn,0.8719512224197388
haar,0.3,haar,rnn,0.8033536672592163
haar,0.3,none,birnn,0.8231707215309143
haar,0.3,none,cnn,0.8810975551605225
haar,0.3,none,lstmcnn,0.8775406479835509
haar,0.3,none,nn,0.8506097793579102
haar,0.3,none,rnn,0.8125
haar,0.3,sym4,birnn,0.8318089246749878
