dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
db4,0.2,none,logreg,0.8358739837398373
db4,0.2,none,nn,0.6829268292682927
db4,0.2,none,rfc,0.8978658536585366
db4,0.2,none,svc,0.6824186991869918
db4,0.2,sym4,dtc,0.8363821138211383
db4,0.2,sym4,gbc,0.8861788617886179
db4,0.2,sym4,kerasnn,0.9009146094322203
db4,0.2,sym4,knc,0.6173780487804879
db4,0.2,sym4,logreg,0.9253048780487804
db4,0.2,sym4,nn,0.1880081300813008
db4,0.2,sym4,rfc,0.9014227642276422
db4,0.2,sym4,svc,0.8302845528455285
db4,0.3,coif4,dtc,0.8257113821138211
db4,0.3,coif4,gbc,0.8861788617886179
db4,0.3,coif4,kerasnn,0.8389227390289307
db4,0.3,coif4,knc,0.5330284552845529
db4,0.3,coif4,logreg,0.8861788617886179
db4,0.3,coif4,nn,0.1880081300813008
db4,0.3,coif4,rfc,0.8810975609756098
db4,0.3,coif4,svc,0.6773373983739838
db4,0.3,db4,dtc,0.8450203252032521
db4,0.3,db4,gbc,0.8927845528455285
db4,0.3,db4,kerasnn,0.8810975551605225
db4,0.3,db4,knc,0.6244918699186992
db4,0.3,db4,logreg,0.9176829268292684
db4,0.3,db4,nn,0.1880081300813008
db4,0.3,db4,rfc,0.8973577235772358
db4,0.3,db4,svc,0.8170731707317073
db4,0.3,dmey,dtc,0.8358739837398373
db4,0.3,dmey,gbc,0.8841463414634146
db4,0.3,dmey,kerasnn,0.8414633870124817
db4,0.3,dmey,knc,0.5934959349593496
db4,0.3,dmey,logreg,0.899390243902439
db4,0.3,dmey,nn,0.1880081300813008
db4,0.3,dmey,rfc,0.8938008130081301
db4,0.3,dmey,svc,0.7342479674796748
db4,0.3,haar,dtc,0.8353658536585366
db4,0.3,haar,gbc,0.9034552845528456
db4,0.3,haar,kerasnn,0.8902438879013062
db4,0.3,haar,knc,0.7459349593495935
db4,0.3,haar,logreg,0.9059959349593496
db4,0.3,haar,nn,0.8983739837398373
db4,0.3,haar,rfc,0.8948170731707317
db4,0.3,haar,svc,0.8892276422764228
db4,0.3,none,dtc,0.14126016260162602
db4,0.3,none,gbc,0.012703252032520323
db4,0.3,none,kerasnn,0.006605691276490688
db4,0.3,none,knc,0.054878048780487805
db4,0.3,none,logreg,0.004573170731707317
db4,0.3,none,nn,0.2627032520325203
db4,0.3,none,rfc,0.2779471544715447
db4,0.3,none,svc,0.018292682926829267
db4,0.3,sym4,dtc,0.8323170731707317
db4,0.3,sym4,gbc,0.8912601626016259
db4,0.3,sym4,kerasnn,0.9024389982223512
db4,0.3,sym4,knc,0.6244918699186992
db4,0.3,sym4,logreg,0.9151422764227642
db4,0.3,sym4,nn,0.1880081300813008
db4,0.3,sym4,rfc,0.9004065040650406
db4,0.3,sym4,svc,0.8114837398373984
dmey,0.2,coif4,dtc,0.8170731707317073
dmey,0.2,coif4,gbc,0.8871951219512195
dmey,0.2,coif4,kerasnn,0.8714430928230286
dmey,0.2,coif4,knc,0.5619918699186992
dmey,0.2,coif4,logreg,0.8963414634146342
dmey,0.2,coif4,nn,0.1880081300813008
dmey,0.2,coif4,rfc,0.8882113821138211
dmey,0.2,coif4,svc,0.6839430894308943
dmey,0.2,db4,dtc,0.8302845528455285
dmey,0.2,db4,gbc,0.8963414634146342
dmey,0.2,db4,kerasnn,0.889735758304596
dmey,0.2,db4,knc,0.5010162601626016
dmey,0.2,db4,logreg,0.9080284552845528
dmey,0.2,db4,nn,0.1880081300813008
dmey,0.2,db4,rfc,0.8907520325203252
dmey,0.2,db4,svc,0.8038617886178862
dmey,0.2,dmey,dtc,0.8043699186991871
dmey,0.2,dmey,gbc,0.899390243902439
dmey,0.2,dmey,kerasnn,0.8658536672592163
dmey,0.2,dmey,knc,0.5889227642276422
dmey,0.2,dmey,logreg,0.9120934959349594
dmey,0.2,dmey,nn,0.1880081300813008
dmey,0.2,dmey,rfc,0.9105691056910568
dmey,0.2,dmey,svc,0.7083333333333334
dmey,0.2,haar,dtc,0.8485772357723578
dmey,0.2,haar,gbc,0.9085365853658536
dmey,0.2,haar,kerasnn,0.9095528721809388
dmey,0.2,haar,knc,0.7566056910569106
dmey,0.2,haar,logreg,0.9212398373983741
dmey,0.2,haar,nn,0.9095528455284552
dmey,0.2,haar,rfc,0.91869918699187
dmey,0.2,haar,svc,0.9049796747967479
dmey,0.2,none,dtc,0.10365853658536583
dmey,0.2,none,gbc,0.0040650406504065045
dmey,0.2,none,kerasnn,0.07469512522220613
dmey,0.2,none,knc,0.008130081300813009
dmey,0.2,none,logreg,0.005589430894308943
dmey,0.2,none,nn,0.07063008130081301
dmey,0.2,none,rfc,0.3617886178861789
dmey,0.2,none,svc,0.0975609756097561
dmey,0.2,sym4,dtc,0.8170731707317073
dmey,0.2,sym4,gbc,0.9075203252032521
dmey,0.2,sym4,kerasnn,0.8988820910453796
dmey,0.2,sym4,knc,0.5238821138211383
dmey,0.2,sym4,logreg,0.9085365853658536
dmey,0.2,sym4,nn,0.1880081300813008
dmey,0.2,sym4,rfc,0.8917682926829268
dmey,0.2,sym4,svc,0.8008130081300813
dmey,0.3,coif4,dtc,0.8079268292682927
dmey,0.3,coif4,gbc,0.8800813008130082
dmey,0.3,coif4,kerasnn,0.8501016497612
dmey,0.3,coif4,knc,0.5553861788617886
dmey,0.3,coif4,logreg,0.8841463414634146
dmey,0.3,coif4,nn,0.1880081300813008
dmey,0.3,coif4,rfc,0.8938008130081301
