model,test_acc
dtc,0.9096905124302384
gbc,0.947742262810756
kerasnn,0.9558599591255188
knc,0.7813292744799594
logreg,0.9705733130390664
nn,0.9528158295281582
rfc,0.95636732623034
svc,0.9604261796042618
